name,bus0,bus1,c_nfkm,,frequency,from_relation,i_th_max_a,length,length_m,num_parallel,operator,osm_name,r_ohmkm,ref,s_nom,type,voltage,wires,wkt_srid_4326,x_ohmkm
187,112,164,13.7,3,50,1109593,2.6,10.045,10045,1,Amprion,Datteln West,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(7.35311186939787 51.5758105020818,7.33861258614081 51.6319781250427)",0.25
188,112,165,13.7,3,50,1109595,2.6,34.595,34595,1,Amprion,Mengede Nord,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(7.35311186939787 51.5758105020818,7.70831848872651 51.6762033088437)",0.25
189,166,165,13.7,3,50,1109596,2.6,15.207,15207,1,Amprion,Bergkamen A,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(7.61702099509812 51.6371337640588,7.70831848872651 51.6762033088437)",0.25
190,112,164,13.7,3,50,1109599,2.6,10.019,10019,1,Amprion,Datteln Ost,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(7.35311186939787 51.5758105020818,7.33861258614081 51.6319781250427)",0.25
191,167,165_220kV,11.5,3,50,1109600,1.3,25.175,25175,1,Amprion,Wambel Ost,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(7.52228010104186 51.5321980552231,7.70831848872651 51.6762033088437)",0.32
192,168,104,13.7,3,50,1109607,2.6,14.743,14743,1,Amprion,Essen West,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(6.90660779028721 51.5652424465435,6.92675896360373 51.4992056838496)",0.25
193,138_220kV,104_220kV,11.5,3,50,1109609,1.3,24.437,24437,1,Amprion,Scholven E,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(7.00674987859998 51.5999114220203,6.92675896360373 51.4992056838496)",0.32
194,139,104_220kV,11.5,3,50,1109610,1.3,16.157,16157,1,Amprion,Buer Süd,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(7.03761988504233 51.5985496311832,6.92675896360373 51.4992056838496)",0.32
195,104_220kV,169,11.5,3,50,1109616,1.3,3.433,3433,1,Amprion,LMG West,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(6.92675896360373 51.4992056838496,6.96734393053748 51.4908618864265)",0.32
196,104_220kV,169,11.5,3,50,1109619,1.3,3.427,3427,1,Amprion,LMG Ost,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(6.92675896360373 51.4992056838496,6.96734393053748 51.4908618864265)",0.32
197,168,105,13.7,3,50,1116357,2.6,42.401,42401,1,Amprion,Lippe Süd,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(6.90660779028721 51.5652424465435,6.68078798893986 51.6462959356851)",0.25
198,104_220kV,170,11.5,3,50,1123975,1.3,8.909,8909,1,Amprion,Osterfeld West,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(6.92675896360373 51.4992056838496,6.87287359352087 51.4457833372124)",0.32
199,104_220kV,170,5.75,3,50,1123976,0.65,8.837,8837,0.5,Amprion,Osterfeld Ost,0.16,,247.6832655,Al/St 240/40 2-bundle 220.0,220000,1,"SRID=4326;LINESTRING(6.92675896360373 51.4992056838496,6.87287359352087 51.4457833372124)",0.64
200,138,87,13.7,3,50,1128366,2.6,13.676,13676,1,Amprion,Scholven B,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(7.00674987859998 51.5999114220203,7.06030699176008 51.6964760130648)",0.25
